,Currency,Market,Account,Amount,AvailableAmount,AvailableMargin,OutstandingBuy,OutstandingSell,LastUpdateTime,Price,MarketValue
0,USD,coinbase,coinbase/coinbase-hold,4108316.53114972,4108316.53114972,0,264.92772623,0,2024-05-09T18:50:45.585963Z,1.0,4108316.53114972
1,LTC,coinbase,coinbase/coinbase-hold,0.00000001,1e-08,0,0,0,2024-05-09T18:50:41.942327Z,82.09701446594386,8.209701446594386e-07
2,ZEC,coinbase,coinbase/coinbase-hold,0.00000073,7.3e-07,0,0,0,2024-05-09T18:50:41.942327Z,23.508648861538685,1.716131366892324e-05
3,ETH,coinbase,coinbase/coinbase-hold,820.41062482,820.39664621,0,0,0.01397861,2024-05-09T18:50:44.068599Z,3013.035254786388,2471884.017939246
4,BTC,coinbase,coinbase/coinbase-hold,36.62747492,36.62662883,0,0,0.00084609,2024-05-09T18:50:45.585963Z,62160.44140098125,2276727.415102706
5,XTZ,coinbase,coinbase/coinbase-hold,0.00426500,0.004265,0,0,0,2024-05-09T18:50:41.942327Z,0.9343519834453454,0.003985011209394398
6,XLM,coinbase,coinbase/coinbase-hold,1.70533660,1.7053366,0,0,0,2024-05-09T18:50:41.942327Z,0.10737422573554518,0.18310919704348713
7,MKR,coinbase,coinbase/coinbase-hold,0.00000557,5.57e-06,0,0,0,2024-05-09T18:50:41.942327Z,2726.3473794222236,0.015185754903381785
8,ATOM,coinbase,coinbase/coinbase-hold,0.00567000,0.00567,0,0,0,2024-05-09T18:50:41.942327Z,9.105468171570305,0.051628004532803626
9,MATIC,coinbase,coinbase/coinbase-hold,0.00000004,4e-08,0,0,0,2024-05-09T18:50:41.942327Z,0.6881211944578233,2.752484777831293e-08
10,ANT,coinbase,coinbase/coinbase-hold,0.00965823,0.00965823,0,0,0,2024-05-09T18:50:41.942327Z,7.6418820934203175,0.07380705489113491
11,CRO,coinbase,coinbase/coinbase-hold,0.04448761,0.04448761,0,0,0,2024-05-09T18:50:41.942327Z,0.12572479470315437,0.005593195634083997
12,QNT,coinbase,coinbase/coinbase-hold,0.00023995,0.00023995,0,0,0,2024-05-09T18:50:41.942327Z,98.23915016430938,0.023572484081926037
13,SNX,coinbase,coinbase/coinbase-hold,0.00065409,0.00065409,0,0,0,2024-05-09T18:50:41.942327Z,2.6182980335938333,0.0017126025607933904
14,BAL,coinbase,coinbase/coinbase-hold,0.00367513,0.00367513,0,0,0,2024-05-09T18:50:41.942327Z,3.547293594845645,0.013036765109225076
15,CELO,coinbase,coinbase/coinbase-hold,0.10124344,0.10124344,0,0,0,2024-05-09T18:50:41.942327Z,0.8303224429700717,0.08406470043549388
16,SUSHI,coinbase,coinbase/coinbase-hold,0.00107104,0.00107104,0,0,0,2024-05-09T18:50:41.942327Z,1.0903095134593193,0.0011677651012954695
17,UNI,coinbase,coinbase/coinbase-hold,0.00000094,9.4e-07,0,0,0,2024-05-09T18:50:41.942327Z,7.403065608243536,6.958881671748924e-06
18,AAVE,coinbase,coinbase/coinbase-hold,0.00073238,0.00073238,0,0,0,2024-05-09T18:50:41.942327Z,89.12234827487576,0.06527142542955351
19,FIL,coinbase,coinbase/coin

inbase-hold,4746892.10000000,4745865.9,0,0,1026.20000000,2024-05-09T18:50:41.942327Z,0.1654952728373921,785418.3719701754
21,ROSE,coinbase,coinbase/coinbase-hold,0.66853423,0.66853423,0,0,0,2024-05-09T18:50:41.942327Z,0.08847670303763912,0.05914970453820673
22,KEEP,coinbase,coinbase/coinbase-hold,0.00359922,0.00359922,0,0,0,2024-05-09T18:50:41.942327Z,0.1696326595484813,0.000610545260900085
23,GRT,coinbase,coinbase/coinbase-hold,0.00761338,0.00761338,0,0,0,2024-05-09T18:50:41.942327Z,0.28383899342165186,0.0021609741157365358
24,FLOW,coinbase,coinbase/coinbase-hold,0.00099468,0.00099468,0,0,0,2024-05-09T18:50:41.942327Z,0.8984337298030237,0.0008936540623604716
25,SHIB,coinbase,coinbase/coinbase-hold,0.76122411,0.76122411,0,0,0,2024-05-09T18:50:41.942327Z,2.3145049775913276e-05,1.7618569916575283e-05
26,RAD,coinbase,coinbase/coinbase-hold,0.00663617,0.00663617,0,0,0,2024-05-09T18:50:41.942327Z,1.812974790642237,0.012031208916416295
27,BTRST,coinbase,coinbase/coinbase-hold,0.02040000,0.0204,0,0,0,2024-05-09T18:50:41.942327Z,0.812322641533942,0.016571381887292416
28,IMX,coinbase,coinbase/coinbase-hold,0.00000001,1e-08,0,0,0,2024-05-09T18:50:41.942327Z,2.118739587072068,2.118739587072068e-08
29,FORT,coinbase,coinbase/coinbase-hold,0.00703400,0.007034,0,0,0,2024-05-09T18:50:41.942327Z,0.26228609834361405,0.0018449204157489814
30,AXL,coinbase,coinbase/coinbase-hold,0.28445200,0.284452,0,0,0,2024-05-09T18:50:41.942327Z,1.1073851615623713,0.31499792397673965
31,OSMO,coinbase,coinbase/coinbase-hold,0.02413100,0.024131,0,0,0,2024-05-09T18:50:41.942327Z,0.8580367845180985,0.020705285647206233
32,USD,kraken,kraken/kraken-a-1,0.00830000,0.0083,0,0,0,2024-05-09T17:43:50.097029Z,1.0,0.0083
33,NEAR,kraken,kraken/kraken-a-1,240.85455121,240.85455121,0,0,0,2024-05-09T17:43:50.097029Z,7.171631038681631,1727.3199752653704
34,MINA,kraken,kraken/kraken-a-1,15913428.70244763,15913428.70244763,0,0,0,2024-05-09T17:43:50.097029Z,0.8190358973817705,13033669.35773002
35,STRK,kraken,kraken/kraken-a-1,0.55000000,0.55,0,0,0,2024-05-09T17:43:50.097029Z,1.2465162323150063,0.6855839277732535
36,APT,kraken,kraken/kraken-a-1,0.88000000,0.88,0,0,0,2024-05-09T17:43:50.097029Z,8.68333674396559,7.641336334689719
37,USDT,okex,okex/okx,448716.94193420,448716.9419342,0,1967.21842109,0,2024-05-09T18:50:45.712331Z,1.000033559358661,448732.0005869916
38,ETH,okex,okex/okx,0.00140191,0.00140191,0,0,0,2024-05-09T18:50:06.312512Z,3013.035254786388,4.2240042540375855
39,NEAR,okex,okex/okx,145671.19068432,145481.57940065,0,0,189.61128367,2024-05-09T18:50:41.624241Z,7.171631038681631,1043340.2103861277
40,MINA,okex,okex/okx,412687.71377700,411948.525698,0,0,739.18807900,2024-05-09T18:50:45.712331Z,0.8190358973817705,337400.6304201588
41,APT,okex,okex/okx,0.09870000,0.0987,0,0,0,2024-05-09T18:50:06.312512Z,8.68333674396559,0.8570453366294037
