Symbol,Units,Direction,Currency
BTC,328458.0065,buy,USD
ETH,206720.0385,buy,USD
SOL,146380.3323,buy,USD
XRP,52013.6882,buy,USD
DOGE,40269.75177,buy,USD
ADA,30922.45346,buy,USD
AVAX,25734.56341,buy,USD
SHIB,26234.77578,buy,USD
DOT,18786.11838,buy,USD
LINK,17869.36438,buy,USD
MATIC,12790.27394,buy,USD
UNI,11437.19741,buy,USD
BCH,17675.13381,buy,USD
ICP,10948.24138,buy,USD
NEAR,15592.17031,buy,USD
APT,6288.23547,buy,USD
LTC,11448.41617,buy,USD
FIL,5670.13419,buy,USD
ATOM,6031.90206,buy,USD
ETC,7729.20306,buy,USD